,SUM_TAXEXCLUSIVEAMOUNT,SUM_TAXINCLUSIVEAMOUNT,INVOICE_COUNT,CURRENCY_CAD,CURRENCY_CHF,CURRENCY_CNY,CURRENCY_EUR,CURRENCY_GBP,CURRENCY_HUF,CURRENCY_PLN,CURRENCY_RON,CURRENCY_SEK,CURRENCY_USD,MIN_INV_PERIOD,MAX_INV_PERIOD
233823838,15541413.0,19737595.0,29,0,0,0,0,0,1,0,0,0,0,-29,61
233823840,41650021.11,51363034.6,530,0,0,0,1,0,1,0,0,0,0,-29,56
233823841,15000.0,15000.0,15,0,0,0,0,0,1,0,0,0,0,0,71
233823849,177727439.0,224959086.39999998,407,0,0,0,1,0,1,0,0,0,0,-50,45
233823853,136947880.0,173913168.0,36553,0,0,0,0,0,1,0,0,0,0,-228,31
233823909,1996928.0,2536100.0,44,0,0,0,0,0,1,0,0,0,0,-20,30
233823923,41199.0,52011.0,51,0,0,0,0,0,1,0,0,0,0,-1,30
233823965,8488545.0,10779751.0,69,0,0,0,1,0,1,0,0,0,0,0,30
233823971,135808070.0,172458164.0,144,0,0,0,0,0,1,0,0,0,0,-27,46
233824027,76955029.0,88500607.0,168,0,0,0,0,0,1,0,0,0,0,-1,27
233824028,20025165.0,25345120.0,90,0,0,0,0,0,1,0,0,0,0,0,8
233824052,11955335.0,13799086.0,128,0,0,0,0,0,1,0,0,0,0,-41,66
233824067,10029042.72,12693119.419999994,156,0,0,0,1,0,1,0,0,0,0,-24,55
233824071,392179155.74,490765730.74,511,0,0,0,1,0,1,0,0,0,0,-34,90
233824081,109231355.0,135309715.0,95,0,0,0,0,0,1,0,0,0,1,0,61
233824085,0.0,0.0,2,0,0,0,0,0,1,0,0,0,0,0,0
233824093,18068415.0,22620279.0,101,0,0,0,0,0,1,0,0,0,0,0,15
233824101,113225347.0,143024158.0,173,0,0,0,0,0,1,0,0,0,0,-10,75
233824108,1653961510.1499999,2100530200.2499998,1382,0,0,0,1,0,1,0,0,0,0,-105,46
233824129,1000.0,1270.0,1,0,0,0,0,0,1,0,0,0,0,15,15
233824138,49891.0,63364.0,88,0,0,0,0,0,1,0,0,0,0,-103,30
233824159,138802265.63,157512983.63,547,0,0,0,1,0,1,0,0,0,0,-33,31
233824164,26295065.0,26698931.0,170,0,0,0,1,0,1,0,0,0,0,-102,109
233824223,31123708.0,39527109.0,19,0,0,0,0,0,1,0,0,0,0,8,30
233824226,81057905.0,101440095.0,149,0,0,0,1,0,1,0,0,0,0,0,62
233824228,161613489.86,172255238.86,483,0,0,0,1,0,1,0,0,0,0,-104,32
233824235,77180.0,98023.0,13,0,0,0,0,0,1,0,0,0,0,0,8
233824245,2405590.0,2405590.0,49,0,0,0,0,0,1,0,0,0,0,-58,1
233824268,1648612.0,1648860.0,33,0,0,0,0,0,1,0,0,0,0,0,15
233824293,23297497.0,29582424.0,20,0,0,0,0,0,1,0,0,0,0,12,31
233824296,476400.0,605028.0,5,0,0,0,0,0,1,0,0,0,0,15,30
233824307,77760056.0,97387187.0,114,0,0,0,0,0,1,0,0,0,0,-3,15
233824313,73569074.75,93422864.28999998,257,0,0,0,1,0,1,0,0,0,1,-2,44
233824344,340276896.0,365383118.0,147,0,0,0,0,0,1,0,0,0,0,-6,30
233824352,30157500.0,38300027.0,174,0,0,0,0,0,1,0,0,0,0,-10,30
233824373,441146726.0,557279268.0,186,0,0,0,1,0,1,0,0,0,0,15,31
233824379,1309228.0,1662719.0,3,0,0,0,0,0,1,0,0,0,0,0,8
233824398,9622800.0,11950956.0,21,0,0,0,0,0,1,0,0,0,0,8,30
233824405,369500938.0,370482931.0,37,0,0,0,0,0,1,0,0,0,0,-14,8
233824406,55071590.0,61036956.0,40,0,0,0,0,0,1,0,0,0,0,8,8
233824413,166000.0,210820.0,1,0,0,0,0,0,1,0,0,0,0,10,10
233824419,5368025.8,5378229.8,18,0,0,0,1,0,1,0,0,0,0,0,13
233824439,19867928.0,25232276.0,77,0,0,0,0,0,1,0,0,0,0,0,60
233824450,360000.0,360000.0,2,0,0,0,0,0,1,0,0,0,0,0,0
233824453,507523322.0,636291123.0,176,0,0,0,0,0,1,0,0,0,0,-25,30
233824468,173188413.0,219949284.0,178,0,0,0,0,0,1,0,0,0,0,-692,24
233824509,12525000.0,12525000.0,30,0,0,0,0,0,1,0,0,0,0,2,15
233824511,32197000.0,32197000.0,51,0,0,0,0,0,1,0,0,0,0,-23,8
233824517,1749252.0,2221550.0,4,0,0,0,0,0,1,0,0,0,0,0,33
233824527,1015060.0,1289127.0,22,0,0,0,0,0,1,0,0,0,0,0,8
233824534,71184981.32000004,74961958.32000002,491,0,0,0,1,0,1,0,0,0,0,-8,38
233824544,14400.0,18288.0,1,0,0,0,0,0,1,0,0,0,0,8,8
233824548,13867083.0,17610886.0,103,0,0,0,0,0,1,0,0,0,1,-94,45
233824558,2169601.0,2755393.0,12,0,0,0,0,0,1,0,0,0,0,-23,58
233824577,78781.0,100051.0,17,0,0,0,0,0,1,0,0,0,0,0,0
233824579,27037313.0,27333549.0,137,0,0,0,0,0,1,0,0,0,0,-21,64
233824583,17276594.0,21941274.0,18,0,0,0,0,0,1,0,0,0,0,30,61
233824596,7887918.0,9847556.0,15,0,0,0,0,0,1,0,0,0,0,8,8
233824599,56296800.0,57548736.0,44,0,0,0,0,0,1,0,0,0,0,-8,30
233824616,471822166.0,599133769.0,292,0,0,0,0,0,1,0,0,0,1,-35,90
233824622,0.0,0.0,6,0,0,0,0,0,1,0,0,0,0,-3,12
233828939,18050000.0,22923500.0,5,0,0,0,0,0,1,0,0,0,0,15,31
233829062,3588700.0,3588700.0,13,0,0,0,0,0,1,0,0,0,0,4,29
233829870,10.0,13.0,1,0,0,0,0,0,1,0,0,0,0,8,8
233830449,85485.0,108564.0,85,0,0,0,0,0,1,0,0,0,0,0,58
233831947,46776.0,56490.0,3,0,0,0,0,0,1,0,0,0,0,0,0
233831951,4907904.0,6233037.0,25,0,0,0,0,0,1,0,0,0,0,0,31
233832692,20581770.52,26138850.11,82,0,0,0,1,0,1,0,0,0,0,-34,30
233832694,175040600.0,221958653.0,618,0,0,0,0,0,1,0,0,0,0,-357,122
233832701,0.0,0.0,2,0,0,0,0,0,1,0,0,0,0,-15,0
233951526,91242.0,115880.0,6,0,0,0,0,0,1,0,0,0,0,0,13
234527508,12351114.0,15685917.65,67,0,0,0,1,0,1,0,0,0,0,0,32
234529195,4774280.0,5981439.0,46,0,0,0,0,0,1,0,0,0,0,-13,14
234623830,78199682.0,99313599.0,148,0,0,0,0,0,1,0,0,0,0,-3,30
234948122,0.0,0.0,2,0,0,0,0,0,1,0,0,0,0,30,31
234948124,10197745.0,12951136.0,38,0,0,0,0,0,1,0,0,0,0,2,49
234958218,3823570.6,4854814.6,31,0,0,0,1,0,1,0,0,0,0,-45,30
234958226,11630785.0,14771094.0,192,0,0,0,0,0,1,0,0,0,0,-95,15
234958228,618017311.0,696915561.0,1336,0,0,0,0,0,1,0,0,0,0,-125,37
234958234,3072445037.0,3415105328.0,388,0,0,0,0,0,1,0,0,0,0,-7,31
234961333,30000.0,30000.0,3,0,0,0,0,0,1,0,0,0,0,-1,3
234964033,311840.0,396039.0,33,0,0,0,0,0,1,0,0,0,0,0,14
234964037,8819.730000000003,10401.11,14,0,0,0,1,0,0,0,0,0,0,-190,90
234970315,13607880.0,13810618.0,7,0,0,0,0,0,1,0,0,0,0,8,30
235086513,1910000.0,1910000.0,32,0,0,0,0,0,1,0,0,0,0,-1,61
235087386,781519.0,992530.0,67,0,0,0,0,0,1,0,0,0,0,0,15
235369544,398066.0,475844.0,7,0,0,0,0,0,1,0,0,0,0,0,8
235375120,30504090.0,30509490.0,426,0,0,0,0,0,1,0,0,0,0,-382,46
235375122,4811698.0,6110854.0,84,0,0,0,0,0,1,0,0,0,0,0,62
235379882,763000.0,763000.0,18,0,0,0,0,0,1,0,0,0,0,-15,45
235714647,207839525.0,263424308.0,452,0,0,0,0,0,1,0,0,0,0,-58,30
235961277,425000.0,425000.0,18,0,0,0,0,0,1,0,0,0,0,0,0
235964632,10291482.4,13065727.650000006,31,0,0,0,1,0,1,0,0,0,0,7,32
235972041,43638763.959999986,55343978.900000006,203,0,0,0,1,0,1,0,0,0,0,-84,63
236415592,7033993.0,7039393.0,244,0,0,0,0,0,1,0,0,0,0,-54,31
236469355,180339343.0,229031017.36,763,0,0,0,1,0,1,0,0,0,0,-68,62
236659055,99569257.0,103367954.0,51,0,0,0,0,0,1,0,0,0,0,0,89
236659065,2742603.0,3483102.0,31,0,0,0,0,0,1,0,0,0,0,0,21
236666715,22777015.0,28926810.0,63,0,0,0,0,0,1,0,0,0,0,-4,281
236668979,141937332.0,175502057.0,1801,0,0,0,0,0,1,0,0,0,0,-35,30
236670352,610000.0,774700.0,1,0,0,0,0,0,1,0,0,0,0,7,7
236670354,30841500.0,30841500.0,86,0,0,0,0,0,1,0,0,0,0,-20,33
236670361,15216795.0,15216795.0,53,0,0,0,0,0,1,0,0,0,0,-51,150
236739520,10108199.0,12249296.0,151,0,0,0,0,0,1,0,0,0,0,-14,32
236920200,182737840.0,230840456.0,393,0,0,0,0,0,1,0,0,0,0,-35,38
236921462,4885090.0,4959282.0,4,0,0,0,0,0,1,0,0,0,0,8,15
237501281,48734175.0,61816058.0,118,0,0,0,1,0,1,0,0,0,1,-27,86
237652302,86571679.0,109946032.0,28,0,0,0,0,0,1,0,0,0,0,-52,30
237655988,171041079.80999997,217129346.45000026,1798,0,0,0,1,0,1,0,0,0,0,-27,81
237657773,35522524.0,45113606.0,18,0,0,0,0,0,1,0,0,0,0,8,16
237667820,66767819.0,84795135.0,116,0,0,0,0,0,1,0,0,0,0,-251,32
237776168,57426130.0,71055595.0,47,0,0,0,1,0,1,0,0,0,0,6,17
237908512,39379582.0,49857175.0,158,0,0,0,0,0,1,0,0,0,0,4,30
237914571,24292.0,24300.0,12,0,0,0,0,0,1,0,0,0,0,0,8
237914574,196750.0,196750.0,8,0,0,0,0,0,1,0,0,0,0,0,5
237914585,15850000.0,15850000.0,21,0,0,0,1,0,1,0,0,0,0,8,15
237916377,176338.0,176338.0,27,0,0,0,1,0,0,0,0,0,0,23,50
237916381,78284008.0,99420671.0,1244,0,0,0,0,0,1,0,0,0,0,-51,30
237916384,500393009.0,551317020.0,649,0,0,0,0,0,1,0,0,0,0,-18,62
237916388,2689000.0,2689000.0,92,0,0,0,0,0,1,0,0,0,0,-9,0
237970064,34342564.0,42622595.0,791,0,0,0,0,0,1,0,0,0,0,-55,10
238087435,64977865.0,82520925.0,65,0,0,0,1,0,1,0,0,0,0,0,31
238250093,17900.0,22733.0,10,0,0,0,0,0,1,0,0,0,0,0,28
238256199,8704000.0,8704000.0,26,0,0,0,0,0,1,0,0,0,0,24,31
238256201,12451500.0,12451500.0,45,0,0,0,0,0,1,0,0,0,0,-17,15
238256204,77900766.0,98933973.0,119,0,0,0,0,0,1,0,0,0,0,12,32
238256241,900000.0,1143000.0,4,0,0,0,0,0,1,0,0,0,0,7,10
238256243,1398994.0,1775105.0,4,0,0,0,0,0,1,0,0,0,0,0,26
238256255,16887623.0,21433778.0,125,0,0,0,0,0,1,0,0,0,0,-629,45
238256256,7175604.0,7175604.0,37,0,0,0,0,0,1,0,0,0,0,0,31
238256290,2530000.0,3213100.0,1,0,0,0,0,0,1,0,0,0,0,7,7
238256296,460000.0,584200.0,1,0,0,0,0,0,1,0,0,0,0,7,7
238256306,15300000.0,19350000.0,32,0,0,0,0,0,1,0,0,0,0,2,32
238592512,1050000.0,1050000.0,1,0,0,0,0,0,1,0,0,0,0,0,0
238676008,23280000.0,23280000.0,5,0,0,0,0,0,1,0,0,0,0,30,30
238679970,2287324.0,2794309.0,3,0,0,0,0,0,1,0,0,0,0,0,0
238679975,415400.0,415400.0,7,0,0,0,0,0,1,0,0,0,0,0,8
238682222,3453.0,4387.0,37,0,0,0,0,0,1,0,0,0,0,-298,30
238685156,755225.0,755225.0,131,0,0,0,0,0,1,0,0,0,0,-35,30
238685159,425300.0,425300.0,1,0,0,0,0,0,1,0,0,0,0,1,1
