,index,PARTY_ID,LOB_CODE,SIZE,PACKAGE,REGION,COUNTY
0,0,233823894,49414,9,3,1,12
1,1,233823896,55174,4999,3,1,12
2,2,233823898,70224,1,3,1,12
3,3,233823900,81104,4,3,2,12
4,4,233823901,46514,9,3,1,12
5,5,233823903,94994,1,3,2,11
6,6,233823905,55174,1,2,6,2
7,7,233823907,52214,49,10,3,11
8,8,233831941,55174,1,2,2,12
9,9,233831943,47914,1,10,6,2
10,10,233831946,47304,19,10,9,6
11,11,233831947,55174,1,10,1,12
12,12,233831949,55174,1,3,4,7
13,13,233831951,46384,1,10,1,12
14,14,233832689,69204,1,10,5,3
15,15,233832692,70224,1,10,1,12
16,16,233832694,18134,19,8,1,12
17,17,233832697,47714,1,3,3,8
18,18,233832701,73114,19,2,1,12
19,19,233834751,47294,1,3,6,2
20,20,233834753,81304,4,0,6,4
21,21,233834755,47264,9,1,6,4
22,22,233834757,70224,1,10,3,1
23,23,233951526,55174,1,2,6,2
24,24,234623183,62024,9,3,1,12
25,25,234623184,55174,1,3,2,12
26,26,234623186,69204,1,3,3,8
27,27,234527508,16294,1,10,1,12
28,28,234527511,45324,1,3,3,1
29,29,234529187,55174,1,3,3,8
30,30,234529189,10714,49,10,9,6
31,31,234529193,62024,1,3,1,12
32,32,234529195,70224,1,10,1,12
33,34,234623822,41204,9,3,8,5
34,35,234623824,68204,1,10,1,12
35,36,234623826,55174,1,3,5,3
36,37,234623830,46904,1,10,5,9
37,38,234958218,33124,1,2,9,6
38,39,234958219,46384,1,3,1,12
39,40,234958221,46184,1,3,1,12
40,41,234948113,55174,1,3,7,15
41,42,234948115,41204,1,3,7,0
42,43,234948117,49414,9,10,2,10
43,44,234948120,18204,99,3,4,14
44,45,234948122,55174,1,10,7,0
45,46,234948124,69204,1,10,2,12
46,47,234958224,47714,999,3,2,12
47,48,234958226,62034,1,10,1,12
48,49,234958228,45114,1,10,7,0
49,50,234958230,47264,4,3,3,1
50,51,234958232,85594,4,3,1,12
51,52,234958234,42124,49,8,2,12
52,53,234958237,45404,1,3,1,12
53,54,234958239,62014,9,0,1,12
54,55,234961321,70224,1,3,8,18
55,56,234961326,66224,1,10,8,13
56,57,234961327,69204,1,3,1,12
57,58,234961330,49414,9,10,7,13
58,59,236663910,68204,1,3,1,12
59,60,236666715,47434,1,10,3,8
60,61,236668979,47594,1,8,5,9
61,62,236739520,47264,19,1,1,12
62,63,236907248,55174,1,3,8,17
63,64,236907250,25624,9,0,2,5
64,65,236907252,18134,1,3,1,12
65,66,236907255,55174,1,3,6,2
66,67,236911973,41204,19,3,3,1
67,68,236911976,46224,19,3,8,5
68,69,236911978,55174,1,3,9,6
69,70,236913965,55174,1,3,7,0
70,71,236913967,96024,1,10,5,3
71,72,236920200,55174,1,10,9,16
72,73,236920202,69204,4,3,1,12
73,74,236920205,62014,9,8,4,7
74,75,237501219,28294,1,3,8,17
75,76,237501281,82194,4,10,8,18
76,77,237501283,55174,1,3,9,6
77,78,236921462,55174,1,1,8,5
78,79,236921464,55174,1,3,3,1
79,80,237652298,55174,1,3,7,0
80,81,237652300,42224,19,10,7,0
81,82,237652302,62024,1,10,1,12
82,83,237655988,49414,9,10,8,17
83,84,237655990,93124,1,3,4,14
84,85,237655992,55174,1,10,3,8
85,86,237657767,47414,19,3,1,12
86,87,237657769,73114,1,1,2,12
87,88,237657771,77394,1,3,1,12
88,89,237657773,59114,1,10,2,12
89,90,237661614,47914,1,3,1,12
90,91,237667820,93294,1,2,1,12
91,92,237667822,55174,1,3,1,12
92,93,237776168,62024,1,10,2,12
93,94,237776171,85594,1,3,1,12
94,95,239431572,74904,1,3,5,9
95,96,239431574,92004,99,10,4,7
96,97,239431577,56304,9,10,4,7
97,98,239431579,43994,4,10,6,4
98,99,239431580,68104,1,1,6,4
99,100,239431582,55174,1,5,2,12
100,101,239431585,59114,9,10,1,12
101,102,239436801,55174,1,3,7,0
102,103,239436807,55174,1,2,2,10
103,104,239436809,47734,9,10,8,17
104,105,239436811,68204,1,10,1,12
105,106,239436816,93124,9,10,9,6
106,107,239442056,55174,1,10,8,17
107,108,239442059,77294,1,0,2,12
108,109,239442062,46614,9,0,6,4
109,110,239508933,46624,1,1,2,12
110,111,239445354,46524,4,0,1,12
111,112,239508935,72194,1,0,5,9
112,113,239508936,42114,4,3,6,4
113,114,239508939,69204,4,3,5,3
114,115,239555419,73124,49,10,1,12
115,116,239556344,62014,1,0,1,12
116,117,239556346,45114,1,0,3,8
117,118,239556349,62094,1,1,5,3
118,119,239560828,62094,19,1,2,12
119,120,239560831,55174,1,3,2,10
120,121,239565694,55174,1,0,2,10
121,122,239565696,55174,1,0,9,6
122,123,239565698,55174,1,1,2,12
123,124,239565700,69204,9,0,6,4
124,125,239565704,66194,9,3,9,16
125,126,239565706,55174,1,1,5,3
126,127,239565709,55174,1,3,1,12
127,128,239565711,69204,1,3,1,12
128,129,239565713,68104,1,10,1,12
129,130,239565714,73114,1,3,8,5
130,131,239569328,69204,1,3,8,13
131,132,239569332,55174,1,2,1,12
132,133,239569334,46904,9,1,8,18
133,134,239569338,47914,1,10,1,12
134,135,251688253,69204,4,0,7,0
135,136,251688255,71124,1,1,2,12
136,137,251688259,77114,1,10,1,12
137,138,251688262,69204,1,0,1,12
138,139,251688264,82114,1,0,1,12
139,140,251688266,45204,1,1,1,12
140,141,251688268,42224,1,1,6,4
141,142,251688270,70224,1,8,1,12
142,144,251688274,22234,9,3,1,12
143,145,251688275,55174,1,3,1,12
